,SOURCE_NUMBER,CATALOG_NUMBER,EXTENSION,ASTR_INSTRUM,PHOT_INSTRUM,X_IMAGE,Y_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,ALPHA_J2000,DELTA_J2000,ERRA_WORLD,ERRB_WORLD,ERRTHETA_WORLD,EPOCH,MAG,MAGERR,FLAGS_EXTRACTION,FLAGS_SCAMP,FLAGS_IMA,PM,PMERR,PMALPHA,PMDELTA,PMALPHAERR,PMDELTAERR
13576,4230,12,1,1,1,4017.91595609,2091.95303422,0.00427541788667,0.00427541788667,0.0,99.9039200646,0.380062881615,3.02101227589e-07,3.02101227589e-07,0.0,2021.4836772,-3.2012257576,0.00638168631122,0,96,0,2.93825764726,0.00276545786973,-1.79155385494,2.32888221741,0.00195547402836,0.00195547402836
13577,4230,11,1,1,1,4017.92767574,3091.9574188,0.00409398693591,0.00409398693591,0.0,99.9039240096,0.380076012551,3.0015345942e-07,3.0015345942e-07,0.0,2021.48364541,-3.24466824532,0.00624375184998,0,32,0,2.93825764726,0.00276545786973,-1.79155385494,2.32888221741,0.00195547402836,0.00195547402836
13578,4230,10,1,1,1,4017.92753588,4091.95546909,0.00415334384888,0.00415334384888,0.0,99.9039272338,0.380082972161,3.00782232898e-07,3.00782232898e-07,0.0,2021.48361363,-3.22024178505,0.00632681837305,0,32,0,2.93825764726,0.00276545786973,-1.79155385494,2.32888221741,0.00195547402836,0.00195547402836
15154,4975,15,1,1,1,3172.38481266,100.407852223,0.00712864007801,0.00712864007801,0.0,99.8098404946,0.0296463377071,3.41136569659e-07,3.41136569659e-07,0.0,2021.48364541,-3.69062447548,0.00513727823272,0,0,0,0.0749528617544,0.0310372209012,-0.00237342272885,0.0749152749777,0.0219466295093,0.0219466295093
15155,4975,14,1,1,1,3165.23857143,1096.49638754,0.00708507932723,0.00708507932723,0.0,99.8100306879,0.0295373594286,3.40430347023e-07,3.40430347023e-07,0.0,2021.48361363,-3.69187569618,0.00514346547425,0,0,0,0.0749528617544,0.0310372209012,-0.00237342272885,0.0749152749777,0.0219466295093,0.0219466295093
15156,4975,13,1,1,1,3657.38837885,2093.44885493,0.00714665232226,0.00714665232226,0.0,99.810258517,0.0294494191761,3.41422975225e-07,3.41422975225e-07,0.0,2021.48358185,-3.70003581047,0.00512251770124,0,64,0,0.0749528617544,0.0310372209012,-0.00237342272885,0.0749152749777,0.0219466295093,0.0219466295093
17244,5538,16,1,1,1,2243.389375,1329.45312572,0.00687693431973,0.00687693431973,0.0,99.8356496559,0.0915650463917,3.37138544637e-07,3.37138544637e-07,0.0,2021.4836772,-3.76023316383,0.00497415894642,0,0,0,0.160624795646,0.0183755594681,-0.00168525916524,0.160615950823,0.0129934828728,0.0129934828728
17245,5538,15,1,1,1,2239.3284097,2322.54627104,0.00697598792613,0.00697598792613,0.0,99.835762053,0.0913723898469,3.38692757396e-07,3.38692757396e-07,0.0,2021.48364541,-3.73315501213,0.00503573007882,0,0,0,0.160624795646,0.0183755594681,-0.00168525916524,0.160615950823,0.0129934828728,0.0129934828728
17246,5538,14,1,1,1,2234.46629952,3315.49232844,0.0069300676696,0.0069300676696,0.0,99.8358983963,0.0911761134483,3.37959363605e-07,3.37959363605e-07,0.0,2021.48361363,-3.76261711121,0.00496151344851,0,64,0,0.160624795646,0.0183755594681,-0.00168525916524,0.160615950823,0.0129934828728,0.0129934828728
19641,6247,18,1,1,1,180.090796229,762.859133124,0.0923013687134,0.0923013687134,0.0,99.8929613093,0.153948706426,2.57893429989e-06,2.57893429989e-06,0.0,2021.48361363,-2.96885967255,0.0163863897324,0,32,0,0.0286981031705,0.00782939362139,-0.0028444447089,-0.0285567902029,0.00553621724248,0.00553621724248
19642,6247,17,1,1,1,680.087415327,1762.90759081,0.0916945487261,0.0916945487261,0.0,99.8929620201,0.153949479504,2.56216276284e-06,2.56216276284e-06,0.0,2021.48358185,-2.95087909698,0.0163433812559,0,32,0,0.0286981031705,0.00782939362139,-0.0028444447089,-0.0285567902029,0.00553621724248,0.00553621724248
19643,6247,16,1,1,1,180.182874546,3575.0619057,0.0932742580771,0.0932742580771,0.0,99.8929599468,0.153945620011,2.60592560153e-06,2.60592560153e-06,0.0,2021.4836772,-2.9520637989,0.0163432024419,0,32,0,0.0286981031705,0.00782939362139,-0.0028444447089,-0.0285567902029,0.00553621724248,0.00553621724248
19668,6255,18,1,1,1,772.060072483,796.731584541,0.069271363318,0.069271363318,0.0,99.8765178207,0.154889819335,1.9441540644e-06,1.9441540644e-06,0.0,2021.48361363,-3.53779745102,0.0110232494771,0,32,0,0.0478725873729,0.0113643724286,-0.0252865292132,-0.0406494289637,0.00803582463413,0.00803582463413
