,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
775,1,8.17432121087,-21.1921677248,23-24,0.1,0.0132083846256,galaxies
776,1,8.18583080936,-21.1872437864,22-23,0.1,0.00106038048398,galaxies
777,1,8.17896411657,-21.1863557386,23-24,0.1,0.954726696014,star
783,1,8.20096050329,-21.1761568261,24-25,0.1,0.000517913256772,galaxies
785,1,8.16433352765,-21.1734651751,23-24,0.1,0.0176345705986,galaxies
786,1,8.20153219245,-21.1725741584,23-24,0.1,0.000320945080603,galaxies
792,1,8.20369706502,-21.167130327,23-24,0.1,0.0251602604985,galaxies
795,1,8.22600284609,-21.1653228993,24-25,0.1,0.000335709250066,galaxies
798,1,8.2480485531,-21.1606568232,21-22,0.1,0.0124837756157,galaxies
801,1,8.24161576099,-21.1541669895,23-24,0.1,0.000314968085149,galaxies
802,1,8.25349760347,-21.1515583199,21-22,0.1,0.000814586936031,galaxies
806,1,8.255686772,-21.1479916389,22-23,0.1,0.0263571832329,galaxies
807,1,8.14783008887,-21.1441949495,24-25,0.1,0.000370327703422,galaxies
809,1,8.19657114482,-21.1600392307,26-27,0.1,0.0102755203843,galaxies
812,1,8.15549988066,-21.1395550421,23-24,0.1,0.000338563666446,galaxies
814,1,8.1595623659,-21.1337015521,23-24,0.1,0.00865239650011,galaxies
815,1,8.27280334114,-21.1331628038,24-25,0.1,0.000245964940405,galaxies
816,1,8.16282147962,-21.1299735873,19-20,0.1,0.028624041006,galaxies
818,1,8.26900477079,-21.1271253968,17-18,0.1,0.350372523069,star
821,1,8.15969506163,-21.1236611294,22-23,0.1,0.000851773307659,galaxies
823,1,8.15581875099,-21.1202268753,23-24,0.1,0.000489334110171,galaxies
826,1,8.15234681152,-21.1130280493,24-25,0.1,0.00012368017633,galaxies
827,1,8.19013814848,-21.1125971207,24-25,0.1,0.000222988164751,galaxies
830,1,8.20699694769,-21.1093078557,23-24,0.1,0.0214820560068,galaxies
