,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
34109,4,8.13244941936,-21.6039187023,23-24,0.1,0.935247778893,star
34116,4,8.1495687082,-21.5987283992,24-25,0.1,0.0110009219497,galaxies
34117,4,8.1495687082,-21.5987283992,24-25,0.1,0.0110009219497,galaxies
34124,4,8.14832854214,-21.594220112,20-21,0.1,0.0285918563604,galaxies
34125,4,8.14832854214,-21.594220112,20-21,0.1,0.0285918563604,galaxies
34126,4,8.21522473837,-21.5941439675,24-25,0.1,0.000245148868999,galaxies
34127,4,8.21522473837,-21.5941439675,24-25,0.1,0.000245148868999,galaxies
34132,4,8.1480547737,-21.5916689749,24-25,0.1,0.00109335768502,galaxies
34133,4,8.1480547737,-21.5916689749,24-25,0.1,0.00109335768502,galaxies
34134,4,8.16385369371,-21.5909997696,21-22,0.1,0.0255269892514,galaxies
34135,4,8.16385369371,-21.5909997696,21-22,0.1,0.0255269892514,galaxies
34136,4,8.1514797165,-21.5878484879,24-25,0.1,0.000232520833379,galaxies
34137,4,8.1514797165,-21.5878484879,24-25,0.1,0.000232520833379,galaxies
34144,4,8.1340490234,-21.5827627212,24-25,0.1,0.000330930546625,galaxies
34145,4,8.1340490234,-21.5827627212,24-25,0.1,0.000330930546625,galaxies
34148,4,8.11970415354,-21.5820264577,22-23,0.1,0.000741172989365,galaxies
34149,4,8.11970415354,-21.5820264577,22-23,0.1,0.000741172989365,galaxies
34156,4,8.18070387236,-21.5809779088,23-24,0.1,0.0179437790066,galaxies
34157,4,8.18070387236,-21.5809779088,23-24,0.1,0.0179437790066,galaxies
34164,4,8.17559176966,-21.5779007478,24-25,0.1,0.000215943626245,galaxies
34165,4,8.17559176966,-21.5779007478,24-25,0.1,0.000215943626245,galaxies
34170,4,8.10454277054,-21.5753044657,24-25,0.1,0.000113815956865,galaxies
34171,4,8.10454277054,-21.5753044657,24-25,0.1,0.000113815956865,galaxies
34174,4,8.10656144634,-21.5748456174,25-26,0.1,0.000112586974865,galaxies
34175,4,8.10656144634,-21.5748456174,25-26,0.1,0.000112586974865,galaxies
34176,4,8.0953991201,-21.5746453227,22-23,0.1,0.000832083111163,galaxies
34177,4,8.0953991201,-21.5746453227,22-23,0.1,0.000832083111163,galaxies
34182,4,8.19897148692,-21.572049215,24-25,0.1,0.000169824255863,galaxies
34183,4,8.19897148692,-21.572049215,24-25,0.1,0.000169824255863,galaxies
34184,4,8.2131842214,-21.5719504112,23-24,0.1,0.000274794816505,galaxies
34185,4,8.2131842214,-21.5719504112,23-24,0.1,0.000274794816505,galaxies
34186,4,8.13701955909,-21.5712005316,25-26,0.1,0.0100126089528,galaxies
34187,4,8.13701955909,-21.5712005316,25-26,0.1,0.0100126089528,galaxies
34190,4,8.11022982437,-21.5703183162,26-27,0.1,0.000110336361104,galaxies
34191,4,8.11022982437,-21.5703183162,26-27,0.1,0.000110336361104,galaxies
34194,4,8.13875329209,-21.5683695626,24-25,0.1,0.000277439277852,galaxies
34195,4,8.13875329209,-21.5683695626,24-25,0.1,0.000277439277852,galaxies
34196,4,8.12077045682,-21.5677847358,23-24,0.1,0.000317891215673,galaxies
34197,4,8.12077045682,-21.5677847358,23-24,0.1,0.000317891215673,galaxies
34198,4,8.12802090134,-21.567704981,23-24,0.1,0.000304672925267,galaxies
34199,4,8.12802090134,-21.567704981,23-24,0.1,0.000304672925267,galaxies
34200,4,8.13768447563,-21.5669352689,26-27,0.1,0.634237468243,galaxies
34201,4,8.13768447563,-21.5669352689,26-27,0.1,0.634237468243,galaxies
34208,4,8.14135984802,-21.564196022,24-25,0.1,0.000243866292294,galaxies
34209,4,8.14135984802,-21.564196022,24-25,0.1,0.000243866292294,galaxies
34218,4,8.14425899519,-21.5626724939,23-24,0.1,0.000292420008918,galaxies
34219,4,8.14425899519,-21.5626724939,23-24,0.1,0.000292420008918,galaxies
34220,4,8.19495473839,-21.5623766539,24-25,0.1,0.00363171938807,galaxies
34221,4,8.19495473839,-21.5623766539,24-25,0.1,0.00363171938807,galaxies
34234,4,8.09323589474,-21.5541193119,21-22,0.1,0.0223772730678,galaxies
34235,4,8.09323589474,-21.5541193119,21-22,0.1,0.0223772730678,galaxies
34242,4,8.16732849001,-21.5533439304,24-25,0.1,0.000362046412192,galaxies
34243,4,8.16732849001,-21.5533439304,24-25,0.1,0.000362046412192,galaxies
34252,4,8.10981256414,-21.5515624629,21-22,0.1,0.0275503396988,galaxies
34253,4,8.10981256414,-21.5515624629,21-22,0.1,0.0275503396988,galaxies
34254,4,8.15113707663,-21.5508700024,24-25,0.1,0.000145378158777,galaxies
34255,4,8.15113707663,-21.5508700024,24-25,0.1,0.000145378158777,galaxies
34262,4,8.09156100414,-21.5495149365,24-25,0.1,0.00130702659953,galaxies
34263,4,8.09156100414,-21.5495149365,24-25,0.1,0.00130702659953,galaxies
34264,4,8.16548754479,-21.5473983128,26-27,0.1,0.000108051674033,galaxies
34265,4,8.16548754479,-21.5473983128,26-27,0.1,0.000108051674033,galaxies
34268,4,8.08470616834,-21.5462244334,23-24,0.1,0.000319193524774,galaxies
34269,4,8.08470616834,-21.5462244334,23-24,0.1,0.000319193524774,galaxies
34270,4,8.11954481564,-21.5461479637,23-24,0.1,0.000396118295612,galaxies
34271,4,8.11954481564,-21.5461479637,23-24,0.1,0.000396118295612,galaxies
34274,4,8.09467990452,-21.5446446536,20-21,0.1,0.000922901614103,galaxies
34275,4,8.09467990452,-21.5446446536,20-21,0.1,0.000922901614103,galaxies
34278,4,8.0870163257,-21.5436483233,21-22,0.1,0.000576002523303,galaxies
34279,4,8.0870163257,-21.5436483233,21-22,0.1,0.000576002523303,galaxies
34280,4,8.19650849182,-21.5430649424,21-22,0.1,0.000378141383408,galaxies
34281,4,8.19650849182,-21.5430649424,21-22,0.1,0.000378141383408,galaxies
34284,4,8.15898399917,-21.5426219188,24-25,0.1,0.00026268340298,galaxies
34285,4,8.15898399917,-21.5426219188,24-25,0.1,0.00026268340298,galaxies
34292,4,8.12282482947,-21.539102437,26-27,0.1,0.00325910700485,galaxies
34293,4,8.12282482947,-21.539102437,26-27,0.1,0.00325910700485,galaxies
34294,4,8.16921021678,-21.5383266619,23-24,0.1,0.000336715573212,galaxies
34295,4,8.16921021678,-21.5383266619,23-24,0.1,0.000336715573212,galaxies
34298,4,8.1334923712,-21.5339707193,26-27,0.1,0.00140234315768,galaxies
34299,4,8.1334923712,-21.5339707193,26-27,0.1,0.00140234315768,galaxies
34300,4,8.12288162028,-21.5329002299,25-26,0.1,0.000111908579129,galaxies
34301,4,8.12288162028,-21.5329002299,25-26,0.1,0.000111908579129,galaxies
34306,4,8.12486948285,-21.5270630306,23-24,0.1,0.00032288316288,galaxies
34307,4,8.12486948285,-21.5270630306,23-24,0.1,0.00032288316288,galaxies
34310,4,8.12933334802,-21.5253819106,25-26,0.1,0.000106265099021,galaxies
34311,4,8.12933334802,-21.5253819106,25-26,0.1,0.000106265099021,galaxies
34318,4,8.1432240658,-21.52247467,23-24,0.1,0.00102077238262,galaxies
34319,4,8.1432240658,-21.52247467,23-24,0.1,0.00102077238262,galaxies
34336,4,8.17645457512,-21.5125371516,24-25,0.1,0.000304232235067,galaxies
34337,4,8.17645457512,-21.5125371516,24-25,0.1,0.000304232235067,galaxies
34340,4,8.16652654598,-21.5108867365,22-23,0.1,0.000425873877248,galaxies
34341,4,8.16652654598,-21.5108867365,22-23,0.1,0.000425873877248,galaxies
34346,4,8.17429927942,-21.508055621,24-25,0.1,0.00741474144161,galaxies
34347,4,8.17429927942,-21.508055621,24-25,0.1,0.00741474144161,galaxies
34348,4,8.16043482602,-21.5064776023,21-22,0.1,0.0199243295938,galaxies
34349,4,8.16043482602,-21.5064776023,21-22,0.1,0.0199243295938,galaxies
34350,4,8.17462601246,-21.5028063015,21-22,0.1,0.0261482037604,galaxies
34351,4,8.17462601246,-21.5028063015,21-22,0.1,0.0261482037604,galaxies
34352,4,8.163368135,-21.501487676,23-24,0.1,0.01171113085,galaxies
34353,4,8.163368135,-21.501487676,23-24,0.1,0.01171113085,galaxies
34356,4,8.16549987618,-21.4979859077,23-24,0.1,0.895269870758,star
34357,4,8.16549987618,-21.4979859077,23-24,0.1,0.895269870758,star
34360,4,8.17705939459,-21.4952493472,26-27,0.1,0.00580082926899,galaxies
34361,4,8.17705939459,-21.4952493472,26-27,0.1,0.00580082926899,galaxies
34368,4,8.18289882537,-21.4927068199,22-23,0.1,0.999919891357,star
34369,4,8.18289882537,-21.4927068199,22-23,0.1,0.999919891357,star
34376,4,8.05787909042,-21.6629963989,24-25,0.1,0.0001346241188,galaxies
34377,4,8.05787909042,-21.6629963989,24-25,0.1,0.0001346241188,galaxies
34380,4,8.06813555245,-21.655123541,24-25,0.1,0.000153461180162,galaxies
34381,4,8.06813555245,-21.655123541,24-25,0.1,0.000153461180162,galaxies
34386,4,8.00383856994,-21.6528293214,23-24,0.1,0.0163415558636,galaxies
34387,4,8.00383856994,-21.6528293214,23-24,0.1,0.0163415558636,galaxies
34388,4,8.00257936304,-21.6520614415,23-24,0.1,0.00049516040599,galaxies
34389,4,8.00257936304,-21.6520614415,23-24,0.1,0.00049516040599,galaxies
34390,4,8.00072094169,-21.6496856377,23-24,0.1,0.000414014008129,galaxies
34391,4,8.00072094169,-21.6496856377,23-24,0.1,0.000414014008129,galaxies
34396,4,8.03057282233,-21.6458501451,24-25,0.1,0.00023319455795,galaxies
34397,4,8.03057282233,-21.6458501451,24-25,0.1,0.00023319455795,galaxies
34400,4,8.03928316998,-21.6397106861,22-23,0.1,0.0277776308358,galaxies
34401,4,8.03928316998,-21.6397106861,22-23,0.1,0.0277776308358,galaxies
34404,4,8.09724184409,-21.6385638012,24-25,0.1,0.000314126664307,galaxies
34405,4,8.09724184409,-21.6385638012,24-25,0.1,0.000314126664307,galaxies
34408,4,8.05048154591,-21.6378205733,24-25,0.1,0.000103635095002,galaxies
34409,4,8.05048154591,-21.6378205733,24-25,0.1,0.000103635095002,galaxies
34424,4,8.0761991897,-21.6295784752,23-24,0.1,0.000318813225022,galaxies
34425,4,8.0761991897,-21.6295784752,23-24,0.1,0.000318813225022,galaxies
34428,4,8.00694666594,-21.6281407455,22-23,0.1,0.0013958417112,galaxies
34429,4,8.00694666594,-21.6281407455,22-23,0.1,0.0013958417112,galaxies
34432,4,8.06818698365,-21.6276111424,23-24,0.1,0.0253389719874,galaxies
34433,4,8.06818698365,-21.6276111424,23-24,0.1,0.0253389719874,galaxies
34436,4,8.06951645732,-21.6259552402,25-26,0.1,0.0001318933937,galaxies
34437,4,8.06951645732,-21.6259552402,25-26,0.1,0.0001318933937,galaxies
34450,4,8.00574064143,-21.6223097318,24-25,0.1,0.000307320413413,galaxies
34451,4,8.00574064143,-21.6223097318,24-25,0.1,0.000307320413413,galaxies
34452,4,8.00497983881,-21.6206962187,22-23,0.1,0.000389872002415,galaxies
34453,4,8.00497983881,-21.6206962187,22-23,0.1,0.000389872002415,galaxies
34458,4,8.09128565293,-21.6166839833,19-20,0.1,0.0286152176559,galaxies
34459,4,8.09128565293,-21.6166839833,19-20,0.1,0.0286152176559,galaxies
34462,4,8.03734036439,-21.6158493721,25-26,0.1,0.00346423010342,galaxies
34463,4,8.03734036439,-21.6158493721,25-26,0.1,0.00346423010342,galaxies
34464,4,8.01782048473,-21.6147239991,21-22,0.1,0.00103791861329,galaxies
34465,4,8.01782048473,-21.6147239991,21-22,0.1,0.00103791861329,galaxies
34466,4,8.09958366978,-21.6133105308,22-23,0.1,0.0272158309817,galaxies
34467,4,8.09958366978,-21.6133105308,22-23,0.1,0.0272158309817,galaxies
34468,4,8.03207832764,-21.6109256888,23-24,0.1,0.000319091894198,galaxies
34469,4,8.03207832764,-21.6109256888,23-24,0.1,0.000319091894198,galaxies
34470,4,8.0054721057,-21.6085726259,22-23,0.1,0.000699664349668,galaxies
34471,4,8.0054721057,-21.6085726259,22-23,0.1,0.000699664349668,galaxies
34480,4,7.97742175538,-21.6034102855,24-25,0.1,0.000124037949718,galaxies
34481,4,7.97742175538,-21.6034102855,24-25,0.1,0.000124037949718,galaxies
34482,4,8.08628905135,-21.6030273313,23-24,0.1,0.000375106959837,galaxies
34483,4,8.08628905135,-21.6030273313,23-24,0.1,0.000375106959837,galaxies
34486,4,8.05641514403,-21.6025065325,24-25,0.1,0.000142529257573,galaxies
34487,4,8.05641514403,-21.6025065325,24-25,0.1,0.000142529257573,galaxies
34494,4,7.97754524684,-21.5979018659,25-26,0.1,0.000105495018943,galaxies
34495,4,7.97754524684,-21.5979018659,25-26,0.1,0.000105495018943,galaxies
34498,4,7.99097103333,-21.5972253973,23-24,0.1,0.000295815552818,galaxies
34499,4,7.99097103333,-21.5972253973,23-24,0.1,0.000295815552818,galaxies
34500,4,7.9917149037,-21.5964796169,25-26,0.1,0.00288538285531,galaxies
34501,4,7.9917149037,-21.5964796169,25-26,0.1,0.00288538285531,galaxies
34504,4,7.99979144342,-21.5951644099,21-22,0.1,0.0288018323481,galaxies
34505,4,7.99979144342,-21.5951644099,21-22,0.1,0.0288018323481,galaxies
34512,4,8.08044347746,-21.5907067758,23-24,0.1,0.000325238506775,galaxies
34513,4,8.08044347746,-21.5907067758,23-24,0.1,0.000325238506775,galaxies
34514,4,8.08254340144,-21.5884341985,24-25,0.1,0.000212264174479,galaxies
34515,4,8.08254340144,-21.5884341985,24-25,0.1,0.000212264174479,galaxies
34518,4,8.04904624808,-21.5874813843,22-23,0.1,0.0269626565278,galaxies
34519,4,8.04904624808,-21.5874813843,22-23,0.1,0.0269626565278,galaxies
34520,4,8.07976940728,-21.5866443682,23-24,0.1,0.00035642835428,galaxies
34521,4,8.07976940728,-21.5866443682,23-24,0.1,0.00035642835428,galaxies
34528,4,8.07426139704,-21.5844667104,23-24,0.1,0.000936963770073,galaxies
34529,4,8.07426139704,-21.5844667104,23-24,0.1,0.000936963770073,galaxies
34532,4,8.08390406961,-21.5833449536,23-24,0.1,0.000310203467961,galaxies
34533,4,8.08390406961,-21.5833449536,23-24,0.1,0.000310203467961,galaxies
34534,4,8.06324599305,-21.5821510665,26-27,0.1,0.000123776408145,galaxies
34535,4,8.06324599305,-21.5821510665,26-27,0.1,0.000123776408145,galaxies
34536,4,8.03915767182,-21.5818560886,24-25,0.1,0.000156818176038,galaxies
34537,4,8.03915767182,-21.5818560886,24-25,0.1,0.000156818176038,galaxies
34540,4,8.01614137923,-21.5812768821,25-26,0.1,0.00010266454774,galaxies
34541,4,8.01614137923,-21.5812768821,25-26,0.1,0.00010266454774,galaxies
34544,4,8.02917587305,-21.5779998757,24-25,0.1,0.000124456870253,galaxies
34545,4,8.02917587305,-21.5779998757,24-25,0.1,0.000124456870253,galaxies
34548,4,8.024578935,-21.5760851033,22-23,0.1,0.000444995617727,galaxies
34549,4,8.024578935,-21.5760851033,22-23,0.1,0.000444995617727,galaxies
